9.864800000000000235e-01,9.921999999999999709e-01,9.919500000000002204e-01,9.568799999999999528e-01,9.863800000000000345e-01,9.848599999999999577e-01,9.781100000000000350e-01,9.888900000000000468e-01,9.904300000000000326e-01,1.000000000000000000e+00,9.827399999999999469e-01,9.945000000000000506e-01,9.861900000000000110e-01,1.002620000000000067e+00,1.033330000000000082e+00,9.860900000000000221e-01,9.907099999999999795e-01,9.968300000000002159e-01,9.845000000000000417e-01,9.868400000000000505e-01,9.967099999999999849e-01,1.008920000000000039e+00
1.013710000000000111e+00,1.001980000000000093e+00,1.010140000000000038e+00,9.774199999999999555e-01,1.004620000000000068e+00,9.923100000000000254e-01,9.747900000000000453e-01,1.004520000000000080e+00,9.774600000000002176e-01,1.000000000000000000e+00,9.917300000000000004e-01,9.861900000000000110e-01,9.859299999999999731e-01,1.007849999999999913e+00,1.064519999999999911e+00,9.876500000000000279e-01,9.825500000000000345e-01,9.968200000000000394e-01,1.000000000000000000e+00,9.933300000000000463e-01,9.539600000000000302e-01,9.911600000000000410e-01
9.695700000000000429e-01,9.843300000000000383e-01,9.979900000000000437e-01,9.769000000000002126e-01,9.953999999999999515e-01,9.922499999999999654e-01,9.913800000000000390e-01,9.955000000000000515e-01,9.950599999999999445e-01,9.926100000000002144e-01,9.979200000000000292e-01,1.005600000000000049e+00,1.017800000000000038e+00,9.844199999999999617e-01,9.697000000000000064e-01,9.910799999999999610e-01,9.917800000000002170e-01,9.983900000000002217e-01,1.006310000000000038e+00,1.002240000000000020e+00,9.965399999999999814e-01,1.004480000000000040e+00
9.965100000000000069e-01,9.880900000000000238e-01,1.005980000000000096e+00,9.921499999999999764e-01,1.023050000000000015e+00,1.002590000000000092e+00,1.002930000000000099e+00,1.011239999999999917e+00,1.006620000000000070e+00,1.003719999999999946e+00,1.005220000000000002e+00,1.013930000000000220e+00,1.000000000000000000e+00,9.973600000000000243e-01,1.031250000000000000e+00,1.010809999999999986e+00,9.958599999999999675e-01,1.009619999999999962e+00,9.921400000000000219e-01,1.013390000000000013e+00,9.861600000000000366e-01,1.004420000000000091e+00
1.020999999999999908e+00,9.939599999999999547e-01,1.002000000000000002e+00,9.761699999999999822e-01,1.013500000000000068e+00,9.922100000000000364e-01,1.011500000000000066e+00,1.002159999999999940e+00,1.004930000000000101e+00,1.014790000000000081e+00,9.948000000000000176e-01,9.917599999999999749e-01,1.010480000000000045e+00,1.005290000000000017e+00,1.030300000000000216e+00,1.003560000000000008e+00,1.001409999999999911e+00,9.904699999999999616e-01,1.001600000000000046e+00,1.004410000000000025e+00,9.684199999999999475e-01,1.008880000000000221e+00
1.023959999999999981e+00,1.010110000000000063e+00,1.013919999999999932e+00,1.000000000000000000e+00,9.911299999999999555e-01,1.005239999999999911e+00,1.011460000000000026e+00,1.011009999999999964e+00,1.013099999999999890e+00,1.010960000000000081e+00,1.005220000000000002e+00,1.013849999999999918e+00,1.010370000000000212e+00,9.894800000000000262e-01,1.000000000000000000e+00,1.014210000000000056e+00,1.012389999999999901e+00,1.008010000000000073e+00,1.007910000000000084e+00,9.912300000000000555e-01,1.021740000000000093e+00,1.000000000000000000e+00
1.010040000000000049e+00,1.008010000000000073e+00,1.009789999999999965e+00,1.016310000000000047e+00,1.022389999999999910e+00,1.018240000000000034e+00,1.039520000000000000e+00,1.023989999999999956e+00,1.029080000000000217e+00,1.054159999999999986e+00,1.028030000000000221e+00,1.000000000000000000e+00,1.030860000000000110e+00,1.007980000000000098e+00,1.000000000000000000e+00,1.017509999999999915e+00,1.020450000000000079e+00,1.004769999999999941e+00,1.000000000000000000e+00,9.933600000000000207e-01,1.049660000000000037e+00,1.043840000000000101e+00
9.867399999999999505e-01,1.005970000000000031e+00,9.961600000000000454e-01,1.023919999999999941e+00,1.008790000000000076e+00,9.974300000000000388e-01,1.002750000000000030e+00,9.872100000000000319e-01,9.984300000000000397e-01,9.828599999999999559e-01,9.919200000000000239e-01,1.024589999999999890e+00,9.866800000000000015e-01,1.007910000000000084e+00,9.705899999999999528e-01,9.879500000000002169e-01,9.920299999999999674e-01,1.012659999999999894e+00,1.006180000000000074e+00,9.933199999999999807e-01,9.729700000000000015e-01,1.008389999999999898e+00
1.010080000000000089e+00,1.021740000000000093e+00,9.980400000000000382e-01,1.046920000000000073e+00,1.017390000000000017e+00,9.974499999999999478e-01,1.040650000000000075e+00,1.025849999999999929e+00,1.018869999999999942e+00,1.024410000000000043e+00,1.016289999999999916e+00,1.013330000000000064e+00,1.016839999999999966e+00,1.044519999999999893e+00,1.030300000000000216e+00,1.010450000000000070e+00,1.021579999999999933e+00,1.015640000000000098e+00,1.006219999999999892e+00,1.023109999999999964e+00,1.027779999999999916e+00,1.024999999999999911e+00
1.009970000000000034e+00,1.001949999999999896e+00,9.960799999999999654e-01,9.925600000000002199e-01,9.829099999999999504e-01,1.000000000000000000e+00,9.895500000000000407e-01,9.958099999999999730e-01,1.001540000000000097e+00,1.010180000000000078e+00,9.990000000000002212e-01,9.736799999999999899e-01,9.933600000000000207e-01,9.974899999999999878e-01,9.705899999999999528e-01,9.982799999999999452e-01,9.880900000000000238e-01,1.007689999999999975e+00,1.001570000000000071e+00,1.002240000000000020e+00,1.020259999999999945e+00,9.878000000000000114e-01
